window_id,session_id,source_file,start_s,end_s,scheduled_label,quality_status,quality_reason,confidence_status,final_label,sample_count,max_gap_ms,clip_fraction,psd_resp_band,psd_total,snr_resp,variance_filtered,zero_crossings,spectral_entropy,peak_freq_hz,peak_power,pc1_var_explained,activity_log,breathing_activity_threshold
session_20260812_092121_breathing_off_breathing_off_w00000,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,10.0,30.0,breathing_off,rejected,insufficient_samples,not_evaluated,,303,,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00001,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,15.0,35.0,breathing_off,rejected,insufficient_samples,not_evaluated,,768,,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00002,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,20.0,40.0,breathing_off,rejected,time_gap,not_evaluated,,1241,4784.286,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00003,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,25.0,45.0,breathing_off,accepted,,trusted_breathing,breathing,1709,85.288,0.00698965,79.09192629900855,1.433681547950633,55.16701139943583,32.25958570290105,10,1.5087755404654573,0.25,332.47856991091527,0.7936460375785828,1.8981321529951816,2.0766362090644215
session_20260812_092121_breathing_off_breathing_off_w00004,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,30.0,50.0,breathing_off,rejected,time_gap,not_evaluated,,2000,110.187,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00005,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,35.0,55.0,breathing_off,rejected,time_gap,not_evaluated,,2006,110.187,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00006,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,40.0,60.0,breathing_off,rejected,time_gap,not_evaluated,,1983,275.83,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00007,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,45.0,65.0,breathing_off,rejected,time_gap,not_evaluated,,1962,275.83,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00008,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,50.0,70.0,breathing_off,rejected,time_gap,not_evaluated,,1954,275.83,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00009,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,55.0,75.0,breathing_off,rejected,time_gap,not_evaluated,,1946,275.83,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00010,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,60.0,80.0,breathing_off,rejected,time_gap,not_evaluated,,1964,186.413,,,,,,,,,,,,
session_20260812_092121_breathing_off_breathing_off_w00011,session_20260812_092121_breathing_off_breathing_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_092121_breathing_off_breathing_off.csv,65.0,85.0,breathing_off,accepted,,trusted_breathing,breathing,1978,88.053,0.00611808,124.131896699603,2.342321678022531,52.99523881124067,108.51184137446013,12,2.030034586275096,0.35000000000000003,289.39958650826856,0.7006781697273254,2.0938833913352526,2.0766362090644215
