window_id,session_id,source_file,start_s,end_s,scheduled_label,quality_status,quality_reason,confidence_status,final_label,sample_count,max_gap_ms,clip_fraction,psd_resp_band,psd_total,snr_resp,variance_filtered,zero_crossings,spectral_entropy,peak_freq_hz,peak_power,pc1_var_explained,activity_log,breathing_activity_threshold
session_20260812_131332_hold_breath_off_hold_breath_off_w00000,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,10.0,18.0,breathing,accepted,,trusted_breathing,breathing,817,85.448,0.00034425,104.51134980031308,3.230910247323662,32.347339232605776,189.7524825696277,3,1.0481376804262628,0.125,360.10135965993356,0.8658782839775085,2.278187466566136,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00001,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,12.0,20.0,breathing,accepted,,trusted_breathing,breathing,812,86.362,0.00012508,51.78468527583818,1.2787666665515327,40.495804770581124,44.45585813712728,4,1.5216424717100323,0.125,108.0725758042665,0.8618307113647461,1.714201341143088,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00002,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,14.0,22.0,breathing,accepted,,trusted_breathing,breathing,813,86.362,0.0001057,60.73823417319706,1.2235933005769863,49.639234004065116,30.150607785474573,6,1.1339483916446755,0.375,131.98846515324564,0.8453359007835388,1.7834621616358561,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00003,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,16.0,24.0,breathing,accepted,,trusted_breathing,breathing,817,86.362,0.00020081,38.658357359323595,1.067191204160039,36.224396536058826,57.87509454610531,4,1.5720000999829442,0.125,76.19276445262697,0.8268992304801941,1.762491713500199,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00004,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,18.0,26.0,breathing,accepted,,trusted_breathing,breathing,816,86.362,0.00063189,66.7203263026845,1.8371221353767977,36.31785008619674,78.73300973437922,3,1.1039672347591836,0.125,212.81828564735758,0.7737685441970825,1.8961568535765232,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00005,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,20.0,28.0,breathing,accepted,,trusted_breathing,breathing,816,57.222,0.00058402,33.83776641616609,0.8245034686615683,41.040174726074255,23.95853745902242,6,1.5613281020823573,0.125,57.930029505707154,0.7051181793212891,1.5294016881392063,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00006,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,22.0,30.0,breathing,accepted,,trusted_breathing,breathing,818,57.222,0.00110789,21.14971086176766,0.4350191830024506,48.61788097652673,8.44702211066362,4,1.1637817819010383,0.25,48.48277715340465,0.6518747210502625,1.3253044345008145,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00007,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,24.0,32.0,breathing,accepted,,trusted_breathing,breathing,815,56.344,0.00102569,14.833558393444438,0.3061481643037271,48.45222060087133,9.842439333136074,4,1.1905103913950708,0.25,33.09693873696148,0.628411054611206,1.1712453455841876,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00008,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,26.0,34.0,breathing,accepted,,trusted_breathing,breathing,810,75.059,0.00155285,83.8941097366893,2.3977230511502245,34.989074195374236,114.9377742889697,2,0.953350626404641,0.125,286.30660081319843,0.6570135354995728,2.0604627829892808,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00009,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,28.0,36.0,breathing,accepted,,trusted_breathing,breathing,805,75.059,0.00132958,116.6143521835552,3.171128189287939,36.77377426035356,151.43512385397526,4,1.3296057092844615,0.125,313.00937214935203,0.5913045406341553,2.180226617084868,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00010,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,30.0,38.0,breathing,accepted,,trusted_breathing,breathing,805,75.059,0.00060171,60.74567850044398,1.3000001646903208,46.7274390806464,18.830417737262355,5,1.551886618936635,0.375,81.62967854193957,0.5429301857948303,1.7835153872881702,1.621801514641147
session_20260812_131332_hold_breath_off_hold_breath_off_w00011,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,32.0,40.0,breathing,rejected,time_gap,not_evaluated,,793,227.485,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00012,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,34.0,42.0,breathing,rejected,time_gap,not_evaluated,,738,266.148,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00013,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,36.0,44.0,breathing,rejected,time_gap,not_evaluated,,709,360.548,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00014,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,38.0,46.0,breathing,rejected,time_gap,not_evaluated,,607,633.137,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00015,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,40.0,48.0,breathing,rejected,time_gap,not_evaluated,,415,633.137,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00016,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,42.0,50.0,breathing,rejected,insufficient_samples,not_evaluated,,273,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00017,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,44.0,52.0,breathing,rejected,insufficient_samples,not_evaluated,,102,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00018,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,46.0,54.0,unknown,rejected,no_samples,not_evaluated,,0,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00019,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,48.0,56.0,breathing,rejected,insufficient_samples,not_evaluated,,18,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00020,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,50.0,58.0,breathing,rejected,insufficient_samples,not_evaluated,,25,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00021,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,52.0,60.0,breathing,rejected,transition_guard,not_evaluated,,25,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00022,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,54.0,62.0,hold_breath,rejected,mixed_or_unknown_label,not_evaluated,,59,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00023,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,56.0,64.0,hold_breath,rejected,mixed_or_unknown_label,not_evaluated,,41,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00024,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,58.0,66.0,hold_breath,rejected,transition_guard,not_evaluated,,112,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00025,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,60.0,68.0,hold_breath,rejected,transition_guard,not_evaluated,,326,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00026,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,62.0,70.0,hold_breath,rejected,time_gap,not_evaluated,,486,134.974,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00027,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,64.0,72.0,hold_breath,rejected,time_gap,not_evaluated,,688,134.974,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00028,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,66.0,74.0,hold_breath,rejected,time_gap,not_evaluated,,814,122.258,,,,,,,,,,,,
