window_id,session_id,source_file,start_s,end_s,scheduled_label,quality_status,quality_reason,confidence_status,final_label,sample_count,max_gap_ms,clip_fraction,psd_resp_band,psd_total,snr_resp,variance_filtered,zero_crossings,spectral_entropy,peak_freq_hz,peak_power,pc1_var_explained,activity_log,breathing_activity_threshold
session_20260812_131332_hold_breath_off_hold_breath_off_w00000,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,10.0,30.0,breathing,accepted,,trusted_breathing,breathing,2042,86.362,0.00052032,36.038099851590616,0.7840772609054243,45.96243463294567,87.50568545676283,12,2.276243955771596,0.45,70.54321182962431,0.7638763785362244,1.8484552291920917,1.4335601549884112
session_20260812_131332_hold_breath_off_hold_breath_off_w00001,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,15.0,35.0,breathing,accepted,,trusted_breathing,breathing,2029,86.362,0.00078164,19.736120900871374,0.3640422932186482,54.213813253185414,13.995176091753258,15,2.0929130034282517,0.30000000000000004,47.29338948582931,0.6637794971466064,1.2952617969205176,1.4335601549884112
session_20260812_131332_hold_breath_off_hold_breath_off_w00002,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,20.0,40.0,breathing,rejected,time_gap,not_evaluated,,2017,227.485,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00003,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,25.0,45.0,breathing,rejected,time_gap,not_evaluated,,1870,360.548,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00004,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,30.0,50.0,breathing,rejected,time_gap,not_evaluated,,1412,633.137,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00005,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,35.0,55.0,breathing,rejected,time_gap,not_evaluated,,911,633.137,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00006,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,40.0,60.0,breathing,rejected,transition_guard,not_evaluated,,440,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00007,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,45.0,65.0,breathing,rejected,mixed_or_unknown_label,not_evaluated,,111,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00008,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,50.0,70.0,hold_breath,rejected,mixed_or_unknown_label,not_evaluated,,545,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00009,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,55.0,75.0,hold_breath,rejected,mixed_or_unknown_label,not_evaluated,,1052,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00010,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,60.0,80.0,hold_breath,rejected,transition_guard,not_evaluated,,1543,,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00011,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,65.0,85.0,hold_breath,rejected,time_gap,not_evaluated,,2011,134.974,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00012,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,70.0,90.0,hold_breath,rejected,time_gap,not_evaluated,,2030,122.258,,,,,,,,,,,,
session_20260812_131332_hold_breath_off_hold_breath_off_w00013,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,75.0,95.0,hold_breath,accepted,,ambiguous_breathing_evidence,,2025,54.622,0.00047068,130.90458629526017,2.38832943504141,54.810104659173895,64.25534548060195,16,1.8201071296312843,0.4,405.50582171665553,0.5786628723144531,2.116954862500581,1.4335601549884112
session_20260812_131332_hold_breath_off_hold_breath_off_w00014,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,80.0,100.0,hold_breath,accepted,,ambiguous_breathing_evidence,,2025,54.622,0.00137731,77.91437211487082,1.4165544569002606,55.002736912289244,25.390985051561902,13,1.976473670747817,0.30000000000000004,187.77259520618665,0.5303224325180054,1.8916175751882351,1.4335601549884112
session_20260812_131332_hold_breath_off_hold_breath_off_w00015,session_20260812_131332_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131332_hold_breath_off_hold_breath_off.csv,85.0,105.0,hold_breath,accepted,,ambiguous_breathing_evidence,,2030,87.145,0.00165871,22.259042971122362,0.4429162659371022,50.25564577985735,58.60374856419036,13,1.9028732943262012,0.30000000000000004,80.3678738092549,0.5279889702796936,1.7679253963709185,1.4335601549884112
session_20260812_131528_hold_breath_off_hold_breath_off_w00000,session_20260812_131528_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131528_hold_breath_off_hold_breath_off.csv,10.0,30.0,breathing,rejected,time_gap,not_evaluated,,2028,102.718,,,,,,,,,,,,
session_20260812_131528_hold_breath_off_hold_breath_off_w00001,session_20260812_131528_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131528_hold_breath_off_hold_breath_off.csv,15.0,35.0,breathing,rejected,time_gap,not_evaluated,,2011,102.718,,,,,,,,,,,,
